t_s,gz_filt_dps,ax_filt_mms2,ay_filt_mms2,az_filt_mms2,ax_raw_mms2,ay_raw_mms2,az_raw_mms2
4.4690,-126.6465,3858.81,8237.10,-465.94,3550.99,7834.53,1272.90
4.4790,-132.2035,4211.68,8282.18,-481.80,5623.13,8537.67,-545.25
4.4890,-138.7605,4469.06,8382.88,-225.59,5498.59,8953.47,799.24
4.4990,-144.4214,4340.95,8757.08,93.33,3828.52,10877.54,1369.01
4.5100,-145.6330,3483.35,9432.01,93.33,52.96,13256.63,-8255.24
4.5210,-141.6091,2989.68,9432.01,93.33,1014.99,38974.57,37949.77
4.5310,-131.3584,2989.68,8796.10,93.33,-14672.71,5192.62,14117.65
4.5400,-118.7859,1851.00,8796.10,93.33,-2703.69,21013.69,13452.76
4.5500,-113.5342,1851.00,8238.37,169.39,24665.69,5077.88,473.66
4.5620,-116.5780,599.38,8238.37,1678.49,-4407.11,16448.69,7714.89
4.5720,-107.9146,1000.24,8675.14,1678.49,2603.67,11150.16,-13931.33
4.5820,-103.2362,1591.78,8675.14,1678.49,3957.96,21588.36,-7532.49
4.5920,-100.6544,1591.78,9174.96,1678.49,-16079.96,12007.26,-34662.59
4.6030,-94.2061,2151.12,9174.96,1678.49,4388.48,25526.71,-13662.62
4.6130,-86.1223,1547.71,9914.15,3136.43,-865.93,14102.94,8968.18
4.6230,-75.4236,2796.45,9914.15,2013.32,7791.38,22947.56,-2479.12
4.6330,-70.1186,2796.45,9725.63,2013.32,-14217.68,8657.31,18195.26
4.6440,-61.4490,2796.45,9725.63,2013.32,-9351.62,28072.52,13380.19
4.6540,-55.6744,2796.45,9725.63,2013.32,-10691.21,17093.97,-15677.89
4.6640,-48.3141,2796.45,9022.73,786.51,-10523.52,5039.64,-4120.75
4.6740,-40.2429,1464.79,9543.66,1039.91,-3861.86,12495.63,2053.51
4.6850,-31.5900,516.16,9244.19,1039.91,-3278.36,7547.20,-7417.75
4.6950,-24.4831,-620.70,9427.56,1111.42,-5168.10,10466.64,1397.45
4.7050,-16.6732,-620.70,9427.56,1111.42,-10513.71,15620.03,-7771.77
4.7150,-10.1983,-1755.14,9131.83,66.94,-6292.93,7456.00,-4110.95
4.7260,-4.9518,-3177.74,8961.50,137.70,-8868.15,7996.34,420.71
4.7360,2.1857,-3177.74,9203.75,-728.31,-13045.79,10576.47,-4192.34
